| Number | Company Name |
| 197 | شركة محمد سالم السويدي للخدمات الصناعية |
| 198 | Samba |
| 199 | Banque Saudi Fransi- Jubail Industrial |
| 200 | The National Commercial Bank (Alahli) |
| 201 | Arabian Industrial Fibers Co. |
| 202 | Riyad Bank |
| 203 | Al Khaleej Training and the electronics industry |
| 204 | Saudi Transformers Co. Ltd. |
| 205 | Al-Qassim Health Water |
| 207 | Saudi Industrial Development Fund |
| 208 | البنك السعودي البريطاني |
| 209 | Saudi Company for engineering technical services (Stesa) |
| 210 | Factory Saudi American Glass |
| 211 | Compaq Co. |
| 212 | Middle East Company for Batteries |
| 213 | Adwan Chemicals Industries Co. Ltd. |
| 214 | Saudi Arabian Mining Company (Mining) |
| 215 | Saudi Arabian Kanet Co. Ltd. |
| 216 | Arab Company for the manufacture of Ductile Iron Pipe Co. Lt |
| 217 | Saudi Baker &amp; Petroleight Arabia Co. |
| 218 | Jal International Co. |
| 220 | GULF STABILIZERS INDUSTRIES |
| 221 | شركة تداوي للخدمات الطبية المحدودة |
| 222 | New Horizons Center |
| 223 | Company vegetative Trade and Industrial Services |
| 224 | Saudi Electricity Company-Hail |
| 226 | Al Rashid Investments Co. |
| 228 | Saudi Development and Training Ltd. |
| 229 | الشركة العربية لثروة العلوم المحدودة (رسال) |
| 230 | Samba |
| 231 | Saudi Britsh bank |
| 232 | Saudi Hollandi Bank |
| 233 | The National Commercial Bank (NCB) |
| 234 | AlBank AlSaudi AlFranci |
| 236 | Al Rajhi Bank |
| 237 | Arab Company for Paper Industry Co. Ltd. (paper) |
| 238 | شركة آرثر دي ليتل الدولية المحدودة |
| 239 | شركة سي بي أي العربية المحدودة |
| 240 | Gulf company for the manufacture of salt, Ltd. |
| 242 | Riyadh House Engineering Consultants |
| 243 | Good for soil and materials engineering |
| 244 | شركة ميرسك سي لاند |
| 245 | معهد الإدارة العامة بالدمام |
| 246 | ALQASWA |
| 248 | IRTIBAT HOLDING COMPANY |
| 250 | Arab Company for Marketing &amp; Agencies Ltd. |
| 253 | Umm Al-Sahik High School |
| 254 | InterContinental Hotels &amp; Resorts (Jubail) |
| 255 | AL-MANNAR HIGH SCHOOL |
| 256 | AL-AWJAM HIGH SCHOOL |
| 257 | Factory National conditioner freon |
| 258 | ASTTRA POLYMER COMPOUNDING CO.LTD. |
| 259 | Amiantit Company (Saddip) |
| 260 | Zamil Plastics Factory |
| 261 | School of Prince Saud bin Naif bin Abdulaziz Primary Ahsa |
| 262 | Saudi Telecom Company |
| 263 | Saudi Telecom Company |
| 264 | Saudi Telecom Company- Jizan |
| 266 | MOHAMMED A. AL-DOSSARY EST |
| 267 | SAUDI TELECOM Co. |
| 268 | PMPQ&amp;E |
| 269 | Abdullatif Jamil Retail Co. Ltd. |
| 270 | Jubail Commercial Port |
| 271 | A. ABUNYYAN GROUP |
| 272 | ALJFALI COM |
| 273 | Saudi Arabian Lubrication Oil Co. |
| 274 | Yamama Saudi Cenment Company limited |
| 277 | Wire Drawing And Related Products Factory-Aslak |
| 278 | Arabian Metal Products Factory |
| 279 | Saudi Filters Ind.Company |
| 280 | Saudi Urthane Chemical Co.Ltd.SUCCO |
| 281 | Iscosa Industrial &amp; Maintenance |
| 282 | Alhamrani Industrial Group Co. |
| 283 | Indionalko Company Limited |
| 284 | Saudi Pharmaceutical Industries&amp;Medical CORPORATION |
| 285 | Alhoty- Stanger Ltd. Co. |
| 286 | Arabian Agricul Turial Services |
| 287 | Saudi International Petrochemeca Co. |
| 289 | Saudi Ojaih Company |
| 290 | King Abdulaziz Naivy Base |
| 294 | شركة بريدة للأغذية |
| 295 | Jeraisy Company |
| 296 | شركة التعاونية للتأمين |
| 297 | HIGH CITY |
| 298 | الشركة السعودية للأعمال البيئية |
| 299 | AL KHAYAL DESIGN COMPANY |
| 300 | KUBRA COMPANY |
| 301 | شركة الزامل للصيانة والتشغيل بالجبيل |
| 302 | Company Petrkon Arabia Limited |
| 303 | Saudi Company for Trade Miscellaneous |
| 304 | Baker Hughes Incorporated |
| 305 | El-Ajou Group Trading |
| 306 | Zamil Operations &amp; Maintenance Co. Ltd. |
| 307 | German Foundation for Technical Cooperation |
| 308 | Saudi Bin Laden Group |
| 309 | Development Company Limited for the manufacture of iron |
| 310 | شركة سالم محمد السويدي |
| 311 | Holding company boom |
| 312 | King Fahad Medical City |
| 313 | Siemens Corporation |
| 314 | معهد الجبيل التقني |
| 315 | Sabaek |
| 316 | Sabic Technology Center-Jubail |
| 318 | Yoysef Ben Ahmed Kanoo |
| 319 | Southern Province Cement Co. |
| 320 | Al Tuwairqi Group of Companies-steel factory-2 |
| 322 | Al-Jubail Sanatary Pipe Factory |
| 323 | resal company |
| 324 | saudi german company |
| 326 | Abdulla Hashem Ind.Gases |
| 327 | Ministry of education |
| 328 | Jubail Energy Co. |
| 329 | The National Commercail Bank-Dammam |
| 330 | Saudi Electricity Company - Hail |
| 331 | SGS Inspection Servicees Saudi Arabia Ltd. |
| 332 | Saudi Consolidated Engineering Company |
| 333 | Rabigh Refinery Department-Saudi Aramco |
| 334 | Saudi Telecom |
| 335 | Saudi Telecom |
| 336 | Al Samh For Trade CompanyLtd. |
| 338 | شركة الزامل للإستثمار الصناعي |
| 339 | Saudi Electricity Co. |
| 340 | Al Soaibi Plastic Factory |
| 341 | Saline Water Conversion Corporation |
| 342 | Saline Water Corporation |
| 343 | Henkel Arabia |
| 344 | البنك العربي الوطني - الخبر |
| 345 | Al Imam Abdulrahman Bin Fiasal Hospital- Dammam |
| 346 | Saudi Fransi Bank |
| 347 | United Lube Oil Co. Ltd UNILUBE |
| 348 | GULF STEEL WORKS |
| 349 | AL-ITTEFAQ STEEL PRODUCTS COMPANY |
| 350 | MAERSK LINE |
| 351 | Al-Joaib Group |
| 352 | Aramco - Riyadh |
| 353 | Manteq Limited Company |
| 354 | Remal Electric |
| 355 | Group Five Pipe Saudi |
| 357 | The Saudi Investment Banks |
| 359 | Chemanol |
| 360 | ZEN TECH |
| 361 | Arab Bank - Al-Ahsa |
| 362 | The sons of Hussein Kadhim Al-Sadiq |
| 363 | Al-Falak Company |
| 365 | Water &amp; Process Technologies Co. Ltd. |
| 366 | Saudi Company for the transfer of bulk Co. Ltd. |
| 367 | National Guard Health Affairs |
| 368 | Heat Plastic |
| 369 | Karim's teeth and his partner Co. |
| 370 | King Fahd Specialist Hospital |
| 371 | Foundation Systems Meteor international engineering business |
| 372 | Secretariat of the Eastern Region |
| 373 | Gulf Chemicals and industrial oils |
| 374 | Jafr General Hospital |
| 375 | Al Jazeera Academy World Education |
| 376 | Company bodies for Trading and Contracting |
| 377 | Company news for world trade and statements |
| 378 | Maritime Industrial Services Company Saudi Arabia Limited |
| 379 | Company Ghassan Abdullah Tiger Holding |
| 380 | Ministry of Water and Electricity - the branch of al-Qatif |
| 381 | Health Affairs, Eastern Province |
| 383 | MK Cable Protection Systems |
| 384 | Talal Abu-Ghazaleh &amp; Co. |
| 385 | Chemical company Resins |
| 386 | Daelim Company Saudi Arabia Limited |
| 387 | King Fahd University of Petroleum and Minerals |
| 388 | National Petroleum Services (NPS) |
| 389 | Arab Company for Organizing Conferences |
| 390 | Vlausrv Abahsain Company Limited |
| 391 | Jeddah Chamber of Commerce |
| 392 | Saudi Telecom Company - Jeddah |
| 393 | Water Company, Najran |
| 394 | Arab Center for Engineering Consultancy |
| 395 | MMG |
| 396 | Melhem company for the distribution of cars |
| 397 | Salem Foundation to donkeys |
| 398 | Ali Zaid Al-Qurashi Co. |
| 399 | Arab and Western Atlas Ltd |
| 400 | Al Abdulkarim Holding Co. |
| 401 | Al Fardan industrial complex |
| 402 | Al-Mutlaq of the manufacturing services |
| 403 | Nesma &amp; Partners |
| 404 | Babcock Purcej Surf Arabic Co. |
| 405 | Sinan Bukhamseen Foundation Contractors |
| 406 | Advanced Polypropylene Company |
| 407 | Systems and advanced techniques Co. Ltd. |
| 408 | Saptco Company |
